fam,x,y,z
2_17_10,643422.993,3408755.909,52.565
2_17_20,643411.303,3408759.136,52.544
2_17_18,643405.381,3408760.493,54.327
2_1_20,643544.200,3408722.863,64.875
2_1_5,643539.240,3408724.329,65.308
2_1_15,643534.841,3408722.163,64.242
2_17_5,643404.340,3408754.445,50.039
2_17_15,643407.950,3408753.153,50.445
2_17_8,643417.421,3408750.343,50.790
2_17_12,643427.146,3408747.664,53.129
2_13_9,643433.065,3408746.530,55.323
2_13_14,643440.525,3408745.289,55.093
2_9_1,643467.066,3408737.536,61.599
2_9_5,643473.006,3408734.838,62.670
2_9_10,643484.015,3408732.080,66.200
2_5_7,643491.159,3408730.548,67.956
2_5_10,643496.271,3408729.691,69.372
2_5_4,643502.689,3408727.223,68.094
2_5_5,643507.785,3408725.216,66.648
2_5_12,643513.673,3408724.018,65.904
2_1_6,643537.309,3408717.598,65.368
2_1_16,643542.554,3408716.424,65.491
2_1_10,643540.729,3408709.024,66.347
2_17_19,643414.160,3408744.680,51.384
2_17_14,643419.772,3408742.457,53.153
2_17_6,643425.374,3408741.063,54.501
2_13_13,643431.753,3408739.042,55.158
2_13_17,643437.611,3408737.652,54.878
2_13_2,643449.100,3408735.092,59.894
2_13_16,643454.354,3408733.215,60.809
2_9_13,643460.433,3408732.147,62.736
2_9_16,643471.236,3408728.046,65.855
2_9_8,643477.280,3408727.105,65.944
2_9_3,643482.722,3408725.646,66.662
2_5_8,643494.119,3408722.734,66.146
2_5_16,643500.246,3408720.422,65.385
2_5_17,643506.103,3408719.095,69.322
2_5_14,643512.261,3408716.847,67.191
2_1_14,643526.394,3408715.696,64.700
2_1_17,643529.294,3408712.383,67.150
2_1_7,643535.190,3408710.546,66.214
2_1_4,643538.829,3408702.358,64.786
2_1_13,643532.837,3408704.130,66.831
2_1_18,643527.235,3408705.619,62.355
2_5_2,643497.989,3408714.070,69.654
2_13_7,643436.030,3408731.118,56.376
2_13_10,643430.493,3408732.512,50.635
2_17_1,643423.864,3408734.019,52.267
2_17_7,643419.811,3408737.190,50.746
2_17_4,643412.412,3408736.228,51.881
2_17_17,643406.606,3408738.577,51.811
2_17_9,643401.128,3408740.291,52.924
2_18_19,643399.291,3408733.754,55.134
2_18_6,643404.867,3408731.817,54.905
2_18_12,643410.564,3408730.457,54.020
2_18_5,643422.399,3408725.987,57.467
2_14_2,643427.374,3408725.862,54.908
2_14_8,643433.749,3408724.159,55.069
2_6_12,643505.654,3408704.723,63.145
2_2_11,643537.245,3408696.016,64.867
2_2_14,643535.161,3408688.773,65.934
2_2_2,643523.885,3408692.261,60.536
2_2_12,643521.406,3408685.715,65.411
2_2_8,643527.011,3408684.002,69.255
2_2_9,643532.743,3408682.419,66.355
2_2_10,643530.981,3408675.116,67.659
2_2_7,643525.185,3408676.635,69.609
2_3_6,643518.319,3408671.882,70.220
2_3_9,643523.925,3408670.105,68.241
2_3_11,643528.955,3408668.257,69.794
2_3_3,643521.378,3408663.814,69.605
2_3_20,643515.852,3408664.378,69.668
2_3_17,643519.680,3408656.512,66.696
2_3_5,643525.420,3408654.354,65.022
2_3_8,643517.844,3408649.847,69.184
2_3_2,643506.444,3408653.014,70.226
2_3_12,643500.332,3408654.209,71.144
2_4_12,643504.285,3408646.472,68.529
2_4_16,643510.694,3408644.675,71.941
2_4_3,643515.946,3408643.021,72.300
2_4_2,643522.487,3408640.970,67.853
2_4_11,643519.856,3408633.815,60.274
2_4_8,643513.411,3408635.900,70.969
2_4_18,643508.216,3408638.097,63.134
2_4_5,643502.556,3408639.074,69.699
2_4_7,643496.376,3408640.556,64.492
2_8_11,643490.192,3408642.325,65.358
2_8_13,643488.996,3408635.796,65.329
2_4_9,643495.405,3408633.998,63.185
2_4_19,643506.201,3408630.439,63.182
2_4_13,643504.359,3408624.221,69.335
2_4_1,643510.133,3408621.968,62.738
2_8_20,643486.813,3408628.743,71.905
2_18_7,643397.979,3408726.330,59.611
2_18_14,643403.772,3408725.003,59.666
2_18_18,643415.364,3408721.838,58.721
2_18_11,643420.901,3408720.443,57.906
2_14_10,643427.338,3408718.997,56.398
2_14_5,643432.038,3408717.783,54.180
2_14_20,643437.973,3408715.436,56.696
2_14_4,643442.929,3408714.354,57.671
2_14_15,643449.303,3408712.715,59.439
2_10_5,643454.587,3408711.062,63.725
2_10_9,643460.514,3408709.290,66.183
2_10_6,643466.434,3408708.092,64.822
2_10_11,643476.753,3408704.208,65.574
2_6_18,643488.655,3408701.877,68.352
2_6_11,643500.441,3408698.715,64.502
2_18_13,643396.135,3408720.239,61.353
2_18_10,643402.120,3408718.979,63.582
2_18_20,643408.442,3408716.445,62.947
2_18_1,643413.203,3408715.488,61.365
2_14_9,643425.369,3408712.650,61.217
2_14_1,643431.108,3408710.556,59.384
2_14_14,643437.048,3408707.890,55.003
2_18_3,643394.546,3408714.344,64.742
2_18_16,643400.149,3408712.822,64.351
2_18_9,643406.018,3408710.602,64.164
2_18_2,643411.558,3408709.017,64.219
2_18_4,643417.665,3408708.141,63.259
2_14_3,643423.461,3408706.622,62.895
2_14_19,643429.460,3408704.276,61.711
2_14_18,643434.939,3408702.434,59.653
2_10_1,643451.954,3408696.852,61.919
2_10_19,643457.676,3408696.034,64.552
2_10_15,643468.300,3408693.367,67.047
2_10_3,643473.597,3408690.757,66.768
2_6_8,643479.384,3408689.877,67.801
2_6_20,643485.118,3408688.102,66.724
2_6_19,643490.788,3408686.390,63.261
2_19_1,643392.588,3408707.230,67.037
2_19_18,643398.644,3408705.396,67.199
2_19_13,643409.989,3408701.589,64.435
2_19_7,643416.158,3408700.905,66.224
2_15_16,643422.018,3408699.388,65.095
2_15_1,643427.493,3408697.801,63.470
2_15_11,643433.038,3408695.832,64.029
2_11_4,643460.669,3408688.221,62.536
2_7_4,643488.942,3408680.491,63.985
2_7_2,643494.482,3408678.905,64.045
2_19_5,643389.539,3408700.102,65.256
2_19_6,643395.848,3408698.590,69.153
2_19_19,643401.448,3408697.260,70.738
2_19_8,643408.016,3408695.560,69.817
2_19_2,643413.555,3408694.038,68.964
2_11_7,643458.835,3408681.428,61.411
2_11_12,643470.436,3408677.625,66.806
2_7_19,643475.597,3408675.587,66.079
2_7_20,643486.665,3408673.245,63.803
2_7_13,643493.625,3408671.040,62.279
2_7_14,643485.594,3408666.973,63.646
2_7_18,643490.956,3408664.300,65.389
2_7_17,643474.208,3408669.056,67.558
2_11_11,643457.330,3408674.001,65.460
2_11_6,643451.721,3408675.969,65.602
2_11_16,643445.027,3408677.476,67.163
2_15_18,643433.693,3408680.516,67.201
2_15_7,643428.340,3408682.488,68.217
2_15_12,643422.608,3408684.071,68.517
2_15_15,643416.546,3408686.352,68.924
2_19_20,643411.856,3408686.737,69.528
2_19_11,643399.039,3408690.268,70.259
2_19_14,643394.141,3408691.863,62.257
2_19_4,643387.327,3408692.793,68.460
2_19_9,643385.681,3408686.322,68.918
2_19_16,643390.768,3408684.985,68.532
2_19_15,643402.433,3408681.247,68.800
2_19_12,643408.482,3408679.987,69.457
2_15_4,643420.580,3408677.404,63.518
2_11_3,643466.581,3408663.590,66.580
2_7_8,643471.798,3408662.191,68.326
2_7_6,643477.457,3408661.309,61.437
2_7_12,643483.259,3408659.280,69.257
2_8_8,643481.361,3408652.486,64.560
2_8_19,643475.753,3408654.390,71.397
2_8_1,643470.283,3408655.530,68.398
2_12_6,643464.168,3408656.917,69.424
2_12_2,643452.319,3408660.078,65.708
2_16_12,643423.527,3408668.185,66.177
2_20_4,643400.598,3408674.518,69.309
2_20_6,643394.228,3408675.773,68.778
2_20_7,643388.684,3408677.678,62.411
2_20_12,643386.790,3408670.566,68.547
2_20_9,643381.637,3408672.029,61.607
2_20_19,643392.318,3408669.873,67.848
2_20_1,643404.873,3408666.721,68.942
2_16_19,643409.968,3408664.810,61.401
2_16_5,643416.349,3408662.725,64.728
2_16_2,643422.464,3408661.338,67.586
2_16_13,643427.614,3408660.066,67.419
2_16_4,643433.475,3408658.485,60.731
2_12_19,643439.013,3408657.027,60.531
2_12_8,643444.947,3408654.744,62.458
2_12_16,643451.190,3408653.359,60.439
2_12_13,643456.922,3408651.776,68.838
2_12_3,643461.950,3408650.055,66.736
2_8_4,643467.621,3408648.279,69.259
2_8_5,643473.789,3408647.724,65.087
2_8_16,643479.410,3408644.798,65.319
2_8_17,643471.444,3408640.732,63.738
2_8_6,643466.050,3408640.979,65.014
2_12_14,643460.771,3408642.313,64.951
2_12_9,643454.121,3408645.289,63.538
2_12_4,643448.462,3408646.235,67.720
2_12_11,643442.979,3408648.332,61.895
2_12_20,643436.739,3408649.526,61.773
2_16_7,643431.711,3408651.246,61.972
2_16_9,643425.263,3408653.522,68.621
2_16_11,643420.180,3408654.539,68.789
2_16_14,643413.677,3408656.176,67.442
2_16_18,643409.671,3408658.230,67.870
2_8_12,643469.996,3408633.881,66.912
2_8_14,643464.910,3408635.090,66.758
2_12_17,643457.949,3408637.423,66.110
2_12_1,643452.483,3408638.243,71.132
2_12_5,643446.752,3408639.763,71.242
2_12_15,643441.404,3408641.415,71.222
2_12_18,643434.898,3408643.243,69.572
2_16_6,643429.615,3408644.833,65.323
2_16_17,643423.755,3408646.351,67.817
2_16_10,643412.103,3408649.195,68.892
2_16_1,643406.143,3408650.999,67.334
2_20_20,643400.642,3408652.075,59.827
2_20_5,643394.678,3408654.198,69.150
2_20_14,643389.233,3408655.881,70.646
2_20_15,643383.056,3408657.171,68.233
2_20_16,643402.544,3408658.613,65.671
2_20_17,643396.931,3408660.868,68.629
2_20_3,643391.455,3408662.455,67.189
2_20_2,643380.652,3408668.951,67.874
2_19_10,643396.947,3408683.600,64.932
